Topic,Word Weights
17,"[('ai', 0.025818685), ('use', 0.013639086), ('say', 0.00936482), ('technology', 0.007104406), ('make', 0.0060550375), ('work', 0.0055197114), ('also', 0.005298883), ('system', 0.0052918033), ('human', 0.0051466646), ('people', 0.005085838)]"
16,"[('patient', 0.016953785), ('ai', 0.013608388), ('health', 0.011327839), ('technology', 0.00975901), ('use', 0.009516362), ('medical', 0.0071103694), ('healthcare', 0.0062861135), ('disease', 0.006036931), ('care', 0.005843737), ('clinical', 0.0052832467)]"
15,"[('say', 0.02057976), ('ai', 0.0154068), ('company', 0.012856557), ('image', 0.010083565), ('use', 0.008518039), ('technology', 0.0071118977), ('voice', 0.0065556224), ('people', 0.0063364273), ('deepfake', 0.0047046444), ('make', 0.0044912645)]"
14,"[('ai', 0.015040699), ('chatgpt', 0.013705218), ('say', 0.012862974), ('use', 0.010669663), ('new', 0.007118732), ('technology', 0.0054849167), ('make', 0.005441487), ('also', 0.0052152476), ('user', 0.00497626), ('write', 0.0049578794)]"
13,"[('market', 0.029982165), ('ai', 0.019414848), ('technology', 0.010874071), ('company', 0.010398208), ('intelligence', 0.008831299), ('growth', 0.008418013), ('share', 0.008229163), ('global', 0.0077596116), ('service', 0.0074474504), ('artificial', 0.0073603434)]"
4,"[('ai', 0.023985619), ('technology', 0.0113965105), ('datum', 0.010899658), ('company', 0.009585983), ('business', 0.008974013), ('solution', 0.0073239156), ('platform', 0.0062656817), ('help', 0.005496994), ('new', 0.005389054), ('team', 0.0050546867)]"
3,"[('ai', 0.015890876), ('technology', 0.012174444), ('company', 0.01184373), ('statement', 0.011283672), ('market', 0.007099383), ('include', 0.0066307974), ('platform', 0.006177924), ('information', 0.0059543597), ('business', 0.0056715934), ('solution', 0.0054642702)]"
2,"[('ai', 0.020739252), ('say', 0.011164475), ('technology', 0.008678802), ('use', 0.007891055), ('company', 0.0076922094), ('news', 0.0063458863), ('new', 0.006286985), ('business', 0.004724612), ('service', 0.0045717196), ('include', 0.0043703904)]"
1,"[('ai', 0.037216537), ('solution', 0.010171159), ('technology', 0.007916077), ('company', 0.006698984), ('use', 0.0063982382), ('provide', 0.006380542), ('platform', 0.006364171), ('press_release', 0.006282942), ('prnewswire', 0.0059128497), ('datum', 0.005308747)]"
0,"[('report', 0.017760476), ('digi', 0.01726366), ('communication', 0.016996048), ('market', 0.013960619), ('digi_communication', 0.009945674), ('announce', 0.009501981), ('symbol', 0.009308339), ('share', 0.00919178), ('company', 0.009133288), ('digi_symbol', 0.008673658)]"
